Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-07-31,7.1,1.60372063186593,4.427205,1.37864077669903,-14.035,-7.081999999999999,-10.802,-1.012,61.265,7.742
2022-01-31,7.0,1.52264940997335,4.59725000000001,1.2048192771084336,-20.873,-6.308,-9.482,-5.162,34.613,-10.562
2021-07-31,6.9,1.44875045273452,4.76272499999999,1.2212389380530977,-15.704,0.6479999999999999,-7.822,-0.37,33.108,1.029
2021-01-31,6.8,1.39508928571429,4.87423999999998,1.2014134275618362,-13.900000000000002,4.1000000000000005,-7.5,10.5,28.7,1.6
2020-07-31,6.6,1.51779615997572,4.34840999999999,1.1558669001751325,-23.846,-8.200000000000001,-10.0,3.0,17.5,-1.7999999999999998
2020-01-31,6.5,1.5135462388376,4.29454999999999,1.146384479717813,-24.258,-9.6,-7.1,-1.4,19.1,-1.3
2019-07-31,6.4,1.5134317063942,4.2288,1.1149825783972,-26.3,-14.0,-10.8,1.8,14.7,-2.4
2019-01-31,6.2,1.4792899408284,4.1912,1.1111111111111,-24.9,-11.3,-13.5,1.1,12.9,-7.7
2018-07-31,6.2,1.4643432420559,4.23398,1.1252268602541,-23.2,-9.9,-14.3,-1.7,17.1,-6.5
2018-01-31,6.2,1.3746649254244,4.51019,1.1742424242424,-14.579734848485,1.4013157606894,-9.5208456380949,3.9539683241633,32.187790859563,0.70009477147406
2017-07-31,6.1,1.3762730525736,4.43226,1.1509433962264,-16.372452830189,-1.1558027200717,-2.6390501498618,14.835760338887,34.266245449034,9.3036080608517
2017-01-31,6.0,1.4335889900366,4.1853,1.1857707509881,-17.286561264822,-1.795335565147,0.055334290681408,19.792108227318,22.645565281918,5.0050400490691
2016-07-31,6.0,1.4213630872006,4.2213,1.1904761904762,-16.244047619048,-0.85774316627732,-2.4801512343714,14.189383115842,16.325532942806,8.437995958147
2016-01-31,5.9,1.508068164681,3.91229,1.1967545638945,-20.643204868154,-12.427293400884,-5.2620407256177,-5.270099308028,17.025161991596,-3.2982205506235
2015-07-31,5.9,1.509092280993,3.909635,1.231732776618,-18.379227557411,-10.834502464473,-6.7146595928603,-12.007016090508,22.512549402161,-1.6717061659778
2015-01-31,5.9,1.3132838663077,4.492555,1.231732776618,-6.2097077244259,4.8962434867975,3.4932445882539,1.7298301157437,40.213082661337,10.604896536494
2014-07-31,5.7,1.1527377521614,4.94475,1.1887382690302,3.1230448383733,16.474272049719,-1.6291528969851,0.99749092481036,46.42606021278,24.422998840085
2014-01-31,5.5,1.203007518797,4.571875,1.1894034961254,-1.1308343845738,12.242418804316,-3.6588567025473,1.8835971263914,70.39814586078,10.907438600766
2013-07-31,5.5,1.2793449753726,4.299075,1.2070226773958,-5.6530724213607,6.2120764222148,-3.8223391520052,10.030042217935,48.035291263141,13.554100174792
2013-01-31,5.2,1.2024289063909,4.32458,1.190640875808,-0.98035156343167,11.379227707374,-7.6162578780861,4.7175322682582,35.373069307938,16.226282542684
2012-07-31,5.1,1.2735608762099,4.00452,1.1785095320624,-7.463431542461,7.6713430510429,-3.042236827583,0.33895787474483,9.1749996610526,14.436188343407
2012-01-31,5.1,1.2600012600013,4.047615,1.215089988135,-3.5643830916654,13.071885900775,-3.6474468598223,10.65936369255,9.1304470201397,13.475521247055
2011-07-31,5.1,1.1560693641618,4.4115,1.2546125461255,8.5239852398524,29.487203086081,-5.0037690132453,19.107581520025,22.749338395035,25.322875440231
2010-07-31,5.0,1.3927576601671,3.59,1.3392857142857,-3.8392857142857,,,,,
2010-01-31,4.9,1.35685,3.6113055975237,1.3687150837989,0.87445803138761,,,,,
2009-07-31,4.9,1.59235,3.0772129242943,1.3725490196078,-13.803559543578,,,,,
2008-06-30,4.9,1.3177,3.7186005919405,1.3725490196078,4.1624815669609,,,,,
2007-06-30,4.6,1.2797,3.5945924826131,1.3489736070381,5.413269284842,,,,,
2007-01-31,4.6,1.42796,3.221378750105,1.4285714285714,0.042818326243621,,,,,
2006-05-31,4.45,1.62101,2.745202065379,1.4354838709677,-11.445094665194,,,,,
2006-01-31,4.45,1.4467,3.075965991567,1.4126984126984,-2.3502859819995,,,,,
2005-06-30,4.45,1.4023,3.1733580546245,1.4542483660131,3.7045115890374,,,,,
2004-05-31,4.35,1.64,2.65,1.5,-8.5365853658537,,,,,
2003-04-30,3.95,1.78,2.15,1.4575645756458,-18.114349682823,,,,,
2002-04-30,3.6,2.24,1.77,1.4457831325301,-35.456110154905,,,,,
2001-04-30,3.6,2.47,1.46,1.4173228346457,-42.618508718799,,,,,
2000-04-30,3.4,2.01,1.69,1.3545816733068,-32.607876949912,,,,,
